회사명,스마트폰.1
DB금융투자,99164.0
IBK투자증권,100000.0
KB증권,120000.0
NH투자증권,108440.0
SK증권,120000.0
교보증권,149200.0
대신증권,108513.0
메리츠증권,88132.0
부국증권,150000.0
비엔케이투자증권,150000.0
삼성증권,97216.0
상상인증권,140000.0
신영증권,99164.0
아이엠증권,97200.0
유안타증권,100000.0
한양증권,100000.0
한화투자증권,150000.0
