회사명,스마트폰.1
DB금융투자,36175.5
IBK투자증권,60500.0
KB증권,66000.0
NH투자증권,75579.33333333333
SK증권,47875.0
교보증권,46395.0
다올투자증권,15000.0
대신증권,74932.66666666667
메리츠증권,35919.333333333336
미래에셋증권,14050.0
부국증권,57500.0
비엔케이투자증권,57500.0
삼성증권,40599.0
상상인증권,53666.666666666664
신영증권,41081.0
아이엠증권,53680.0
엘에스증권,15000.0
유안타증권,55000.0
유진투자증권,15000.0
케이프투자증권,15000.0
키움증권,13180.0
하나증권,14100.0
한국투자증권,14053.0
한양증권,56316.0
한화투자증권,22612.0
현대차증권,75938.33333333333
